课程名称,单元名称,题目,答案,提示,题目类别,序列
6B语文解析,8 古代诗歌三首,"蝉
唐·虞世南
垂緌饮清露，流响出疏桐。
居高声自远，非是藉秋风。

马诗（其五）
唐·李贺
大漠沙如雪，燕山月似钩。
何当金络脑，快走踏清秋。

竹石
清·郑燮
咬定青山不放松，立根原在破岩中。
千磨万击还坚劲，任尔东西南北风。

石灰吟
明·于谦
千锤万凿出深山，烈火焚烧若等闲。
粉骨碎身浑不怕，要留清白在人间。",,,阅读,1
6B语文解析,8 古代诗歌三首,"《马诗》
题目点明了诗歌的写作对象。标题名咏___，实则咏___。
《石灰吟》
“吟”，古代诗歌的一种____，这里有“____”的意思。“石灰吟”就是吟咏石灰。题目点明了诗歌吟咏的____和____。
《竹石》
竹石，指_______________。题目交代了诗歌描写的____。",马；人；形式；吟咏；对象；文体；扎根在石缝中的竹子；对象,,理解,2
6B语文解析,8 古代诗歌三首,"李贺（790—816），字____，福昌（今河南宜阳）人，家居福昌昌谷，后世称“______”，__代诗人。
个人成就
有“____”之称，与李白、李商隐合称唐代“____”。
作品风格
其诗大多慨叹_______________，抒发对__________；想象丰富，语言瑰丽奇峭。
代表作
《雁门太守行》《李凭箜篌引》等，著有《昌谷集》。",长吉；李昌谷；唐；诗鬼；三李；生不逢时和内心苦闷；理想的追求,,理解,3
6B语文解析,8 古代诗歌三首,"于谦（1398—1457），字____，____（今浙江杭州）人。
个人成就
__代政治家、军事家。
作品风格
其诗多以_________________的内容为主。
代表作
《于忠肃集》",廷益；钱塘；明；忧国忧民和表达坚贞节操,,理解,4
6B语文解析,8 古代诗歌三首,"郑燮（1693—1765），字____，号____，兴化（今属江苏）人。
个人成就
__代书画家、文学家。“__________”的重要代表人物，其诗、书、画均旷世独立，世称“____”。
作品风格
真率自然，富有风趣。
代表作
《清光留照图》《兰竹芳馨图》
《甘谷菊泉图》等，著有《郑板桥集》。",克柔；板桥；清；扬州八怪；三绝,,理解,5
6B语文解析,8 古代诗歌三首,"写作背景
《马诗》
本诗选自《李长吉歌诗编年笺注）卷五（中华书局 2012年版）。《马诗》是李贺所作的一组以马为题材的组诗，共有二十三首。诗歌通过__马、__马和感叹马的____，来表现志士的_______________的感慨与愤懑。这首诗是（马诗）组诗中的第五首。詩人所处的贞元、元和年间，正是藩镇极为跋扈的时代， 诗中“燕山”暗示的幽州蓟门一带又是藩镇肆虐为时最久、为祸最烈的地带，诗人希望能扫除战乱，建功立业，但终不被赏识。对马有所偏爱的诗人或许受伯乐识马所启，结合自己________的现实，带着________创作了此诗。",咏；赞；命运；奇才异质、远大抱负以及不遇于时；怀才不遇；愤之情,,理解,6
6B语文解析,8 古代诗歌三首,"写作背景
《石灰吟》
本诗选自《中国历代诗歌选》下编（二）（人民文学出版社1979年版）。于谦从小学习刻苦，志向远大。相传有一天，他走到一座石灰窑前，观看师傅们煅烧石灰。只见一堆堆______的山石，经过熊熊烈火的焚烧之后，变成了____的石灰。于谦深有感触，略加思索之后便写下了此诗。他写下的这首诗不只是________的写照，更彰显了他日后的________。",青灰色；白色；石灰形象；人生追求,,理解,7
6B语文解析,8 古代诗歌三首,"写作背景
《竹石》
本诗选自《郑板桥集》（上海古籍出版社1979年版）。郑板桥幼年家贫，丧母，赖乳母教养，随其父学画，早年在扬州以卖画为生，经常过着“爨（cuan）下荒凉告绝薪，门前剥啄来催债”的困窘生活。后经朋友资助，才得到读书机会，并应科举而为康熙秀才、雍正举人、乾隆进士。做官期间，鞭挞奸吏，力争赈济，后遭诬告被罢官。据传在他离职时，只有三头毛驴：一是他自己乘的，二是驮他的书籍、阮琴的，三是他仆人乘的。可谓“两袖清风”“一官归去来”。《竹石》是一首____诗，是诗人为自己所画的竹石画题写的，画面上有竹有石。这首诗正是诗人___________的写照。",题画；不与世俗同流合污,,理解,8
6B语文解析,8 古代诗歌三首,"文学常识
咏物诗
咏物诗是主要以_____________的诗歌，多采用________的手法。咏物诗中所咏之“物”往往是诗人的____，与诗人的自我形象完全融合在一起，诗人在________中寄托了__________。在诗中诗人或____出自己的人生态度，或____美好的愿望，或____生活的哲理，或____诗人的生活情趣。",客观的“物”为咏诵对象；托物寄兴；自况；描摹事物；自己一定的感情；流露；寄寓; 体现；表现,,理解,9
6B语文解析,8 古代诗歌三首,请赏析诗句“何当金络脑，快走踏清秋”。,"运用了借代的修辞手法和借物喻人的写作方法。诗人借马喻人，为自己渴望建功立业而又得不到赏识
呐喊，表达了一种不平则鸣的愤慨。",赏析富有表现力的诗句,理解,10
