课程名称,单元名称,题目,答案,提示,题目类别,序列
初中语法词汇2000题,单项03 冠词,"The table is made of ______.
A. the wood
B. woods
C. wood
D. the woods",C,物质名词前不用冠词（零冠词）。,问答,1
初中语法词汇2000题,单项03 冠词,"A beautiful girl is playing ______ on the stage.
A. the violin
B. violin
C. a violin
D. violins",A,演奏乐器前须加定冠词 the。,问答,2
初中语法词汇2000题,单项03 冠词,"Liu Dandan is ______ Chinese student. Nancy is ______ English student.
A. a; a
B. an; an
C. a; an
D. an; a",C,a 用于辅音音素开头的词（Chinese），an 用于元音音素开头的词（English）。,问答,3
初中语法词汇2000题,单项03 冠词,"They have never seen ______ interesting film.
A. such
B. such an
C. so
D. such a",B,interesting 以元音音素开头，需用 an。,问答,4
初中语法词汇2000题,单项03 冠词,"—When do you usually have ______ supper?
—At six o'clock.
A. a
B. an
C. the
D. /",D,三餐名称前不加冠词。,问答,5
初中语法词汇2000题,单项03 冠词,"—Do you know ______ woman in red?
—She is a teacher.
A. the
B. a
C. an
D. /",A,特指“穿红衣服的妇女”，用定冠词 the。,问答,6
初中语法词汇2000题,单项03 冠词,"The Everest is ______ highest mountain in the world.
A. a
B. an
C. the
D. /",C,最高级前加定冠词 the。,问答,7
初中语法词汇2000题,单项03 冠词,"He hit the bad man on ______ nose.
A. the
B. a
C. an
D. his",A,打某人的身体部位时，部位前加 the。,问答,8
初中语法词汇2000题,单项03 冠词,"We'll go to the supermarket by ______ bus.
A. the
B. a
C. /
D. an",C,"""by + 交通工具""结构中不加冠词。",问答,9
初中语法词汇2000题,单项03 冠词,"The old man often watches ______ TV in ______ evening.
A. the; the
B. /; the
C. the; /
D. /; /",B,TV 前不加冠词；evening 前加 the。,问答,10
初中语法词汇2000题,单项03 冠词,"______ sun sets in ______ west.
A. /; the
B. The; /
C. /; /
D. The; the",D,世界上独一无二的事物（sun）和方位（west）前均加 the。,问答,11
初中语法词汇2000题,单项03 冠词,"My son goes to ______ school by ______ bike every day.
A. /; the
B. the; the
C. /; /
D. the; /",C,"""go to school""和""by bike""均为固定搭配，不加冠词。",问答,12
初中语法词汇2000题,单项03 冠词,"There is ______ building over there. ______ building is our new library.
A. a; The
B. the; The
C. a; A
D. the; A",A,第一空泛指用 a，第二空特指用 the。,问答,13
初中语法词汇2000题,单项03 冠词,"______ Mr. Wang is waiting for you outside the door.
A. The
B. One
C. A
D. An",C,泛指“一位王先生”，用不定冠词 a。,问答,14
初中语法词汇2000题,单项03 冠词,"The boy and the girl are falling in love. They are nearly of ______ same age.
A. the
B. an
C. a
D. /",A,"固定搭配""the same age""。",问答,15
初中语法词汇2000题,单项03 冠词,"She was born on ______ May 8, 1992.
A. the
B. a
C. that
D. /",D,月份前不加冠词。,问答,16
初中语法词汇2000题,单项03 冠词,"Many ______ old man wants to live with their children.
A. an
B. a
C. the
D. that",A,"""many a/an + 单数名词""结构，old 以元音音素开头。",问答,17
初中语法词汇2000题,单项03 冠词,"There was an air crash last year. ______ living got 50,000 yuan compensation (赔偿金) per person.
A. The
B. A
C. /
D. That",A,"""the + 形容词""表示一类人（the living 指幸存者）。",问答,18
初中语法词汇2000题,单项03 冠词,"______ Greens will go to Switzerland for a trip next month.
A. That
B. Which
C. The
D. A",C,"""the + 姓氏复数""表示一家人。",问答,19
初中语法词汇2000题,单项03 冠词,"He graduated from college in ______ 1990's.
A. that
B. the
C. /
D. a",B,表示某个年代的复数名词前加 the。,问答,20
