课程名称,单元名称,题目,答案,提示,题目类别,序列
初中语法词汇2000题,单项05 形容词,"It’s really kind ______.
A. of you to send me such a good book
B. for you to send me such a good book
C. of you sending me such a good book
D. for you sending me such a good book",A,"固定句型 ""It’s kind of sb. to do sth."" 表示“某人做某事很善良”。",问答,1
初中语法词汇2000题,单项05 形容词,"My husband bought me a ______ scarf the day before yesterday.
A. new cotton red big
B. new red cotton big
C. big new red cotton
D. red cotton new big",C,形容词顺序：大小（big）→新旧（new）→颜色（red）→材料（cotton）。,问答,2
初中语法词汇2000题,单项05 形容词,"She ran around the playground for about one hour, so she was so tired and ______.
A. asleep
B. sleepy
C. sleeping
D. sleep",B,sleepy 表示“困倦的”，符合语境；asleep 强调“已睡着”。,问答,3
初中语法词汇2000题,单项05 形容词,"______ should respect the old.
A. Young
B. The young youth
C. The young woman
D. The young",D,"""the + 形容词（young）""表示一类人（年轻人）。",问答,4
初中语法词汇2000题,单项05 形容词,"The house is ______ big for a family of three.
A. much too
B. too much
C. very much
D. so",A,much too 修饰形容词（big），表示“过于”；too much 修饰不可数名词。,问答,5
初中语法词汇2000题,单项05 形容词,"The little girl doesn’t feel ______ today.
A. kind
B. nice
C. well
D. health",C,feel well 表示“身体状态好”；health 是名词，不能直接接在 feel 后。,问答,6
初中语法词汇2000题,单项05 形容词,"Mary is a ______ friend of my mother. I feel ______ happy for her.
A. true; true
B. true; truly
C. truly; true
D. truly; truly",B,true 修饰名词（friend），truly 修饰形容词（happy）。,问答,7
初中语法词汇2000题,单项05 形容词,"Which clothes do you like ______? green, red or yellow?
A. good
B. best
C. better
D. well",B,三者比较用最高级（best）。,问答,8
初中语法词汇2000题,单项05 形容词,"Is there ______ on today’s China Daily?
A. anything interesting
B. interesting anything
C. something interesting
D. interesting something",A,形容词修饰不定代词（anything）需后置，疑问句中用 anything。,问答,9
初中语法词汇2000题,单项05 形容词,"______ should be polite.
A. Old or young, everyone
B. Everyone, old or young
C. Man, everyone, and woman
D. Woman, everyone, man",A,"固定表达 ""Old or young, everyone"" 强调“无论老少”。",问答,10
初中语法词汇2000题,单项05 形容词,"The man is very ______, and he is ______ in math.
A. interested; interesting
B. interesting; interesting
C. interested; interested
D. interesting; interested",D,interesting 修饰物（人），interested 修饰人（be interested in）。,问答,11
初中语法词汇2000题,单项05 形容词,"Let’s go and share the ______ beef.
A. fine
B. well
C. nice
D. kind",C,nice 形容食物“美味的”；fine 多指质量好，well 是副词。,问答,12
初中语法词汇2000题,单项05 形容词,"After a ______ lunch, my father hurried to the office.
A. quick
B. fast
C. soon
D. rapid",A,quick 强调动作迅速（短时间内完成）；fast 强调速度快。,问答,13
初中语法词汇2000题,单项05 形容词,"The old woman lives ______ but she doesn’t feel ______.
A. alone; lonely
B. lonely; alone
C. lonely; lonely
D. alone; lone",A,alone 表示“独自生活”，lonely 表示“感到孤独”。,问答,14
初中语法词汇2000题,单项05 形容词,"The little girl is as ______ as her mother.
A. more beautiful
B. beautiful
C. much beautiful
D. less beautiful",B,as...as 中间用形容词原级（beautiful）。,问答,15
初中语法词汇2000题,单项05 形容词,"His brother is ______ than his father.
A. tall
B. tallest
C. taller
D. much tall",C,than 提示用比较级（taller）。,问答,16
初中语法词汇2000题,单项05 形容词,"The more regularly we eat, the ______ we are.
A. healthy
B. healthier
C. healthiest
D. health",B,"“the + 比较级..., the + 比较级...”结构，healthier 符合。",问答,17
初中语法词汇2000题,单项05 形容词,"Oh, my God! How much ______ she looked without her hat!
A. well
B. good
C. best
D. better",D,much 修饰比较级（better），表示“看起来好多了”。,问答,18
初中语法词汇2000题,单项05 形容词,"______ have a wonderful sense of humor.
A. English
B. The English
C. The England
D. England",B,"""the + 形容词（English）""表示“英国人”整体。",问答,19
初中语法词汇2000题,单项05 形容词,"We are not surprised that Mo Yan has got the Nobel Prize. Even as a child he had a ______ imagination.
A. kind
B. bad
C. funny
D. rich",D,rich imagination 表示“丰富的想象力”，符合语境。,问答,20
