课程名称,单元名称,题目,答案,提示,题目类别,序列
初中语法词汇2000题,单项08 连词,"______ I ______ he has been to Tibet.
A. Not only; but
B. Neither; nor
C. As well; as
D. Either; and",B,"Neither...nor表示""既不...也不""，符合否定语境。",问答,1
初中语法词汇2000题,单项08 连词,"The air ticket will cost $30 ____ $31.
A. or
B. and
C. whether
D. less",A,or连接两个可能的价格选项。,问答,2
初中语法词汇2000题,单项08 连词,"______ it is sunny ______ raining; he'll be in the office on time.
A. Either; or
B. Rather; than
C. Both; and
D. Whether; or",D,"Whether...or表示""无论...还是""，引导让步状语。",问答,3
初中语法词汇2000题,单项08 连词,"John, hurry up: ______ you'll be late for the bus.
A. but
B. or
C. and
D. else or",B,"or表示""否则""，用于警告后果。",问答,4
初中语法词汇2000题,单项08 连词,"She is not very rich: ______ she always sends some money to the poor.
A. but
B. so
C. and
D. or",A,but表示转折关系。,问答,5
初中语法词汇2000题,单项08 连词,"He left the family ______ stayed as an unwelcome person.
A. other than
B. rather than
C. or else
D. therefore",B,"rather than表示""而不是""。",问答,6
初中语法词汇2000题,单项08 连词,"______ class will take part in the composition contest is decided.
A. What
B. Whose
C. Which
D. That",C,Which引导主语从句，表示选择。,问答,7
初中语法词汇2000题,单项08 连词,"We will call you ______ we get off the bus.
A. since
B. while
C. for
D. as soon as",D,"as soon as表示""一...就...""。",问答,8
初中语法词汇2000题,单项08 连词,"She was ______ excited ______ tears came to her eyes immediately when she heard the good news.
A. so; that
B. such; that
C. in order; that
D. even; though",A,so...that引导结果状语从句。,问答,9
初中语法词汇2000题,单项08 连词,"She was so happy ______ her heart would fly away.
A. even if
B. as if
C. so that
D. in order to",B,"as if表示""仿佛""，引导方式状语。",问答,10
初中语法词汇2000题,单项08 连词,"—Which color would you like better, red ______ green?
—Red, please.
A. as
B. and
C. or
D. with",C,or用于选择疑问句。,问答,11
初中语法词汇2000题,单项08 连词,"______ she is a girl of eighteen, she can drive a truck.
A. Which
B. For
C. So
D. Though",D,Though引导让步状语从句。,问答,12
初中语法词汇2000题,单项08 连词,"______ she was not well. I decided to go to church by myself.
A. Although
B. As
C. With
D. Because of",B,As表示原因，语气较because弱。,问答,13
初中语法词汇2000题,单项08 连词,"My sister likes swimming ______ reading novels.
A. and
B. or
C. while
D. to",A,and连接并列的动名词。,问答,14
初中语法词汇2000题,单项08 连词,"Although he is very handsome: ______ he is never proud of it.
A. but
B. and
C. /
D. or",C,although和but不能连用。,问答,15
初中语法词汇2000题,单项08 连词,"I have been keeping the English and Chinese Dictionary ______ I can easily see it so that I can look the new words up in the dictionary at any time.
A. when
B. where
C. which
D. what",B,where引导地点状语从句。,问答,16
初中语法词汇2000题,单项08 连词,"I bought the house, not ______ the house was beautiful but ______ the house was near a famous high middle school.
A. for, because
B. as; for
C. because; as
D. because; because",D,not...but...结构中用because保持对称。,问答,17
初中语法词汇2000题,单项08 连词,"You may borrow the car ______ you promise not to damage it.
A. only just
B. but for
C. as if
D. as long as",D,"as long as表示条件""只要""。",问答,18
初中语法词汇2000题,单项08 连词,"______ he had written his novel for three hours, he felt very tired and sleepy.
A. After
B. Before
C. When
D. And",A,After引导时间状语从句。,问答,19
初中语法词汇2000题,单项08 连词,"______ does she like going shopping: ______ she is fond of taking a trip.
A. Neither; nor
B. Not only; but also
C. Both; and
D. Only; but",B,Not only...but also连接并列结构，前句需倒装。,问答,20
