课程名称,单元名称,题目,答案,提示,题目类别,序列
初中语法词汇2000题,单项12 动词不定式,"2. 作宾语
He offered _____________.
他提出要和我们一起走。",to go with us,,理解,3
初中语法词汇2000题,单项12 动词不定式,"四、不定式的时态与语态
1.时态
① 不定式的一般现在时
表示与主要谓语动词所表示的动作、状态同时发生，或在其之后发生。
I am glad _________ again.我很高兴再次见到你。",to meet you,,理解,24
初中语法词汇2000题,单项12 动词不定式,"4.作宾语补足语
I want my son _________________. 
我想让我的儿子成为一名律师。",to become a lawyer,,理解,8
初中语法词汇2000题,单项12 动词不定式,"二，不定式与it
1.不定式与形式主语it
形式主语it代替不定式主语，从而使整个句子的结构比较平衡。如果需要说明不定式这个动作是谁做的，可以在不定式前加一个 for 来引导逻辑主语。
It is hard to explain what I mean. = _______ what I mean is hard.
很难解释清楚我的意思。",To explain,,理解,16
初中语法词汇2000题,单项12 动词不定式,"The teacher assigned us two exercises _______ at home.
老师给我们布置了两道练习在家做。",to do,,理解,11
初中语法词汇2000题,单项12 动词不定式,He is too young ________________. 他太年轻，不能参军。,to join the army,,理解,14
初中语法词汇2000题,单项12 动词不定式,"2. 不定式与形式宾语 it
形式宾语it代替不定式宾语，而把不定式宾语放在宾语补足语之后。
He thought it a great pity not to invite her. = He thought that _________________ was a great pity. 他认为没有邀请她是一大遗憾。",not to invite her,,理解,18
初中语法词汇2000题,单项12 动词不定式,"5.作定语
He usually has a lot of meetings _________ in the evening. 
他通常晚上有很多会议要参加。",to attend,,理解,10
初中语法词汇2000题,单项12 动词不定式,"三、不定式to的省略
1.在带有复合宾语的某些动词和动词短语后需要省略不定式。
这些动词和动词短语主要有: have,make,let,feel,see,hear,observe,watch,hear,listen to,look at 等。
She always makes her husband ________________. 她总是让丈夫做饭。",cook the meal,,理解,20
初中语法词汇2000题,单项12 动词不定式,"He promised _________________________. 
他保证不跟任何人说这件事情。",not to tell anybody about it,,理解,5
初中语法词汇2000题,单项12 动词不定式,We're not such fools as ____________. 我们不是傻瓜，不会相信他的。,to believe him,,理解,13
初中语法词汇2000题,单项12 动词不定式,"I told him ____________________.
我叫他马上到那里去。",to go there at once,,理解,9
初中语法词汇2000题,单项12 动词不定式,"3.作表语
To see is __________.
百闻不如一见。（此句的主语为不定式，表语也为不定式。）",to believe,,理解,6
